Date,Close,Volume,ExchangeRate,VIX,TEDSpread,EFFR,Gold,Oil,compound,Lagged_Compound_1,Price_Change,Log_Return,SMA_20,RSI,MACD,MACD_Signal,BB_Upper,BB_Lower,OBV
2010-01-29,5.99666690826416,9038700.0,1.387,24.62,0.17,0.12,1083.0,72.88999938964844,0.0845890901982784,0.3335790684757133,-0.01370608823808983,-0.013800883846766587,6.506333231925964,16.81166631422252,-0.18331533440634118,-0.11710749438407805,7.116197170935638,5.896469292916291,-41460300.0
2010-02-01,6.139999866485596,12008700.0,1.3904,22.59,0.15,0.14,1104.300048828125,74.43000030517578,-0.4370483728125691,0.0845890901982784,0.023902104354654785,0.023620920831071066,6.475999879837036,28.611935556553306,-0.18104656651587803,-0.12989530881043806,7.095800225987563,5.8561995336865085,-29451600.0
2010-02-02,6.193333148956299,5548800.0,1.3955,21.48,0.15,0.14,1117.4000244140625,77.2300033569336,0.0447690705768764,-0.4370483728125691,0.00868620254567376,0.008648694533306165,6.447333192825317,27.999995095392563,-0.1729513262163893,-0.1385065122916283,7.063552876773578,5.831113508877056,-23902800.0
2010-02-03,6.353332996368408,18415500.0,1.3907,21.6,0.15,0.13,1111.4000244140625,76.9800033569336,0.2417441027105919,0.0447690705768764,0.025834206486869293,0.025506141573103696,6.426833200454712,34.545452518757344,-0.15187442560452524,-0.1411800949542077,7.025828338558411,5.827838062351012,-5487300.0
2010-02-04,6.119999885559082,11436000.0,1.3759,26.08,0.16,0.14,1062.4000244140625,73.13999938964844,0.293231726065278,0.2417441027105919,-0.036726094939884324,-0.03741747869570544,6.399166536331177,29.820637655090962,-0.1522438892284006,-0.14339285380904626,7.0013297676602555,5.797003305002098,-16923300.0
2010-02-05,6.266666889190674,8810100.0,1.3608,26.11,0.15,0.13,1052.199951171875,71.19000244140625,0.351469668305733,0.293231726065278,0.02396519711996592,0.023682538852205216,6.37533323764801,36.12246923672034,-0.13909845002033183,-0.1425339730513034,6.957542789394845,5.793123685901175,-8113200.0
2010-02-08,6.016666889190674,12658200.0,1.3699,26.51,0.13,0.13,1065.699951171875,71.88999938964844,0.1123969956922034,0.351469668305733,-0.03989361560468818,-0.04071118358156417,6.338166570663452,31.49467745675568,-0.14715716915907695,-0.1434586122728581,6.911823987753396,5.764509153573508,-20771400.0
2010-02-09,6.066667079925537,17238900.0,1.3795,26.0,0.13,0.13,1076.699951171875,73.75,0.3520115228990714,0.1123969956922034,0.008310280701212092,0.008275940438852566,6.309333276748657,34.470405376460604,-0.14780535646945392,-0.14432796111217727,6.8763386560013675,5.742327897495947,-3532500.0
2010-02-10,6.03000020980835,11768700.0,1.3722,25.4,0.14,0.12,1075.800048828125,74.5199966430664,0.1439717555684702,0.3520115228990714,-0.006043989168042052,-0.006062328001050345,6.275499939918518,40.677995381753895,-0.14955379649155454,-0.14537312818805273,6.823099630260933,5.727900249576103,-15301200.0
2010-02-11,6.050000190734863,9231300.0,1.364,23.96,0.14,0.12,1094.199951171875,75.27999877929688,0.0823548654508259,0.1439717555684702,0.0033167463069041503,0.003311258035991887,6.240499949455261,47.710856330938,-0.1476239000646853,-0.14582328256337926,6.748449510215976,5.732550388694546,-6069900.0
2010-02-12,6.0966668128967285,12387600.0,1.3625,22.73,0.15,0.12,1089.5,74.12999725341797,-0.1460134756052866,0.0823548654508259,0.007713491023245256,0.0076838941507390845,6.209333300590515,49.29906659193252,-0.14070685579636688,-0.1447999972099768,6.667453318465087,5.751213282715943,6317700.0
